Current Official Name of Satellite,NORAD Number,Detailed Purpose,Users,sensor_type
SkySat-1,39418,Optical Imaging,Commercial,EO
SkySat-10,42990,Optical Imaging,Commercial,EO
SkySat-11,42989,Optical Imaging,Commercial,EO
SkySat-12,42988,Optical Imaging,Commercial,EO
SkySat-13,42987,Optical Imaging,Commercial,EO
SkySat-14,43797,Optical Imaging,Commercial,EO
SkySat-15,43802,Optical Imaging,Commercial,EO
SkySat-16,45788,Optical Imaging,Commercial,EO
SkySat-17,45790,Optical Imaging,Commercial,EO
SkySat-18,45789,Optical Imaging,Commercial,EO
SkySat-19,46179,Optical Imaging,Commercial,EO
SkySat-2,40072,Optical Imaging,Commercial,EO
SkySat-20,46180,Optical Imaging,Commercial,EO
SkySat-21,46235,Optical Imaging,Commercial,EO
SkySat-3,41601,Optical Imaging,Commercial,EO
SkySat-4,41771,Optical Imaging,Commercial,EO
SkySat-5,41772,Optical Imaging,Commercial,EO
SkySat-6,41773,Optical Imaging,Commercial,EO
SkySat-7,41774,Optical Imaging,Commercial,EO
SkySat-8,42992,Optical Imaging,Commercial,EO
SkySat-9,42991,Optical Imaging,Commercial,EO
Spot 6,38755,Optical Imaging,Commercial,EO
Spot 7,40053,Optical Imaging,Commercial,EO
SSS-2A,49324,Optical Imaging,Commercial,EO
SSTL-S1-4,43618,Optical Imaging,Commercial,EO
StriX β,51847,Radar Imaging,Commercial,SAR
StriX-1,53815,Radar Imaging,Commercial,SAR
StriX-a,47253,Radar Imaging,Commercial,SAR
Superview 1-01,41907,Optical Imaging,Commercial,EO
Superview 1-02,41908,Optical Imaging,Commercial,EO
Superview 1-03,43099,Optical Imaging,Commercial,EO
Superview 1-04,43100,Optical Imaging,Commercial,EO
Taijing 3-01,51829,Optical Imaging,Commercial,EO
Taijing 4-01,51830,Synthetic Aperture Imaging,Commercial,SAR
TeLEOS 1,41169,Optical Imaging,Commercial,EO
TerraSAR X-1,31698,Radar Imaging,Government/Commercial,SAR
Umbra-02,50986,Radar Imaging,Commercial,SAR
Umbra-04,55050,Radar Imaging,Commercial,SAR
Umbra-05,55036,Radar Imaging,Commercial,SAR
Umbra-06,56198,Radar Imaging,Commercial,SAR
Umbra-SAR 2001,48906,Synthetic Aperture Imaging,Commercial,SAR
WNISat-1,39423,Optical Imaging,Commercial,EO
WNISat-1R,42835,Optical Imaging,Commercial,EO
Worldview 1,32060,Optical Imaging,Commercial,EO
Worldview 2,35946,Optical Imaging,Commercial,EO
Worldview 3,40115,Optical Imaging/Infrared Imaging,Commercial,EO
Xingshidai 10,49007,Optical Imaging,Commercial,EO
Xingshidai 5,44488,Optical Imaging,Commercial,EO
OHS-5,44536,Hyperspectral Imaging,Commercial,EO
OHS-6,44537,Hyperspectral Imaging,Commercial,EO
OHS-7,44538,Hyperspectral Imaging,Commercial,EO
OHS-8,44539,Hyperspectral Imaging,Commercial,EO
OVS-1A,42761,Video Imaging,Commercial,EO
OVS-1B,42759,Video Imaging,Commercial,EO
OVS-2A,43440,Video Imaging,Commercial,EO
OVS-3,44534,Video Imaging,Commercial,EO
OHS-1,43439,Hyperspectral Imaging,Commercial,EO
OHS-2,43441,Hyperspectral Imaging,Commercial,EO
OHS-3,43442,Hyperspectral Imaging,Commercial,EO
OHS-4,43443,Hyperspectral Imaging,Commercial,EO
