OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GAOFEN-12 01,2019-082A,2026-04-22T20:37:41.304576,14.80411388,0.0001248,97.8127,120.698,129.2277,230.9046,0,U,44819,999,34590,3.87E-05,2.45E-06,0
CSG-1,2019-092A,2026-04-22T19:51:56.531232,14.82150357,0.0001285,97.8886,297.2307,92.2923,267.8437,0,U,44873,999,34327,4.06E-05,2.71E-06,0
NEMO-HD,2020-061F,2026-04-22T20:21:05.258592,15.43464664,0.000124,97.1958,175.3938,131.2345,228.9011,0,U,46277,999,31344,1.78E-04,7.88E-05,0
SENTINEL-6A,2020-086A,2026-04-22T17:30:42.914304,12.80930867,0.0007763,66.0408,250.2365,270.3565,89.656,0,U,46984,999,25322,7.30E-05,-4.40E-07,0
GAOFEN-12 02,2021-026A,2026-04-22T20:45:10.469664,14.80249567,0.0006105,97.9927,111.275,62.4799,297.7033,0,U,48079,999,27357,3.99E-05,2.51E-06,0
PLEIADES NEO 3,2021-034A,2026-04-22T21:02:11.658912,14.816747,0.0001319,97.8926,188.4368,93.8878,266.2486,0,U,48268,999,26946,3.67E-05,2.37E-06,0
PLEIADES NEO 4,2021-073E,2026-04-22T18:36:18.631296,14.81672355,0.0001353,97.8924,188.3333,93.958,266.1787,0,U,49070,999,25316,5.47E-05,3.79E-06,0
LANDSAT 9,2021-088A,2026-04-22T05:32:49.973280,14.57117507,0.00012198,98.1877,183.2979,103.6444,256.4891,0,U,49260,999,24285,6.61E-05,2.53E-06,0
CSG-2,2022-008A,2026-04-22T19:03:18.176832,14.82148263,0.0001415,97.8885,297.1936,81.8187,278.3187,0,U,51444,999,22838,6.23E-05,4.43E-06,0
GAOFEN-12 03,2022-069A,2026-04-22T19:35:20.082624,14.79941962,0.0001523,97.8339,2.0665,45.5581,314.5755,0,U,52912,999,20642,5.77E-05,3.85E-06,0
SWOT,2022-173A,2026-04-22T18:05:57.696000,14.00170106,0.0000763,77.6074,110.1404,161.5633,198.5546,0,U,54754,999,17139,4.56E-05,6.50E-07,0
GAOFEN-12 04,2023-123A,2026-04-22T20:09:22.638240,14.80116472,0.0001262,97.9131,31.655,88.3927,271.743,0,U,57654,999,14444,9.91E-05,7.00E-06,0
PARS 1,2024-039Q,2026-04-22T21:05:37.848192,15.44560609,0.0008127,97.4808,92.1179,326.1454,33.9275,0,U,59065,999,12010,1.96E-04,9.04E-05,0
