위성명,NORAD_ID,통과시간(UTC),최대앙각(°),궤도고도(km)
TBA - TO BE ASSIGNED,82617,2022-08-04 20:50:00,71.9,757.7
CZ-4C R/B,52913,2022-08-04 01:55:00,71.8,564.4
STARLINK-3942,52563,2022-08-04 23:34:00,71.7,544.2
VIGORIDE-3,52760,2022-08-04 05:26:00,71.6,541.4
OBJECT D,52788,2022-08-04 03:31:00,71.6,603.6
TBA - TO BE ASSIGNED,82458,2022-08-04 03:01:00,71.6,865.4
TBA - TO BE ASSIGNED,82873,2022-08-04 14:50:00,71.6,831.0
TBA - TO BE ASSIGNED,85011,2022-08-04 08:02:00,71.5,783.9
H-2A DEB,53125,2022-08-04 14:23:00,71.5,819.1
TBA - TO BE ASSIGNED,89003,2022-08-04 13:43:00,71.5,775.0
H-2A DEB,53331,2022-08-04 17:58:00,71.5,511.0
HAWK-5A,52757,2022-08-04 05:35:00,71.5,541.3
STARLINK-4152,53136,2022-08-04 03:14:00,71.5,354.3
SL-4 R/B,52714,2022-08-04 04:03:00,71.4,512.4
TBA - TO BE ASSIGNED,81969,2022-08-04 16:30:00,71.4,619.3
STARLINK-4010,52862,2022-08-04 07:42:00,71.4,352.5
STARLINK-3921,52613,2022-08-04 09:01:00,71.3,544.0
TBA - TO BE ASSIGNED,270169,2022-08-04 01:14:00,71.3,982.0
STARLINK-4022,52629,2022-08-04 23:19:00,71.3,543.4
STARLINK-3774,52680,2022-08-04 14:59:00,71.3,543.5
STARLINK-3934,52675,2022-08-04 15:05:00,71.3,542.6
TBA - TO BE ASSIGNED,89195,2022-08-04 02:37:00,71.2,798.4
STARLINK-4267,52864,2022-08-04 07:42:00,71.0,352.0
COSMOS 1408 DEB,52919,2022-08-04 23:39:00,71.0,617.0
STARLINK-4349,53044,2022-08-04 09:49:00,70.9,417.3
STARLINK-4189,52853,2022-08-04 07:43:00,70.8,352.3
STARLINK-4327,53079,2022-08-04 21:31:00,70.7,417.5
STARLINK-3974,52634,2022-08-04 23:15:00,70.7,543.5
STARLINK-4039,52683,2022-08-04 00:35:00,70.6,544.7
TBA - TO BE ASSIGNED,81893,2022-08-04 15:53:00,70.5,985.6
TBA - TO BE ASSIGNED,81323,2022-08-04 12:54:00,70.5,787.4
TBA - TO BE ASSIGNED,89218,2022-08-04 10:09:00,70.5,1025.2
CZ-2C R/B,53131,2022-08-04 10:04:00,70.4,460.0
TBA - TO BE ASSIGNED,82180,2022-08-04 21:17:00,70.4,829.2
COSMOS 1408 DEB,52820,2022-08-04 23:56:00,70.3,520.4
STARLINK-4031,52679,2022-08-04 00:51:00,70.3,544.7
STARLINK-3983,52618,2022-08-04 08:50:00,70.2,544.2
TBA - TO BE ASSIGNED,270049,2022-08-04 18:36:00,70.1,713.5
TBA - TO BE ASSIGNED,81488,2022-08-04 21:47:00,70.1,1078.3
STARLINK-4337,53053,2022-08-04 09:47:00,69.9,417.7
STARLINK-4022,52629,2022-08-04 23:20:00,69.9,543.2
OBJECT E,52789,2022-08-04 03:24:00,69.8,602.7
STARLINK-4096,53160,2022-08-04 03:10:00,69.8,354.3
STARLINK-4212,52846,2022-08-04 17:04:00,69.8,461.6
TBA - TO BE ASSIGNED,81409,2022-08-04 06:00:00,69.8,822.2
TBA - TO BE ASSIGNED,85047,2022-08-04 04:18:00,69.8,1050.7
TBA - TO BE ASSIGNED,270016,2022-08-04 09:47:00,69.7,1014.1
TBA - TO BE ASSIGNED,82168,2022-08-04 22:20:00,69.7,620.2
TBA - TO BE ASSIGNED,81792,2022-08-04 17:16:00,69.6,1042.9
H-2A DEB,53338,2022-08-04 18:00:00,69.6,548.8
H-2A DEB,53120,2022-08-04 06:44:00,69.6,510.2
STARLINK-3938,52566,2022-08-04 14:23:00,69.5,543.0
