OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-37541,2026-097M,2026-05-20T14:00:01.999872,15.50273637,.00018258,97.2854,336.3016,83.7284,261.2022,0,U,68906,999,448,-.29660507E-1,-.1517289E-1,0
STARLINK-37551,2026-097N,2026-05-20T14:00:01.999872,15.49189415,.00013759,97.2854,336.2064,90.8060,27.0240,0,U,68907,999,448,.33654374E-3,.18256E-3,0
STARLINK-37566,2026-097P,2026-05-20T14:00:01.999872,15.57628043,.00018408,97.2846,336.3504,66.6272,33.5642,0,U,68908,999,448,-.3730497E-1,-.2408107E-1,0
STARLINK-37544,2026-097Q,2026-05-20T14:00:01.999872,15.49196402,.00015018,97.2854,336.2651,70.4498,184.2544,0,U,68909,999,448,.21915097E-3,.1185E-3,0
STARLINK-37493,2026-097R,2026-05-20T14:00:01.999872,15.49164310,.00014403,97.2849,336.3131,88.3318,281.1114,0,U,68910,999,446,.31742449E-3,.17196E-3,0
STARLINK-37543,2026-097S,2026-05-20T14:00:01.999872,15.53842552,.00015786,97.2847,336.3457,65.7948,13.2299,0,U,68911,999,448,-.39272759E-1,-.2226621E-1,0
STARLINK-37477,2026-097T,2026-05-20T14:00:01.999872,15.49190215,.00018316,97.2855,336.2934,111.6782,215.6350,0,U,68912,999,448,.3500578E-5,.1E-5,0
STARLINK-37504,2026-097U,2026-05-20T14:00:01.999872,15.49189445,.0001853,97.2856,336.2969,83.3862,248.9449,0,U,68913,999,446,.28312666E-3,.15339E-3,0
STARLINK-37540,2026-097V,2026-05-20T14:00:01.999872,15.49204079,.00022587,97.2849,336.2430,78.3262,125.4553,0,U,68914,999,448,.22644843E-3,.12252E-3,0
STARLINK-37516,2026-097W,2026-05-20T14:00:01.999872,15.59222566,.00020494,97.2853,336.3912,80.8031,103.4164,0,U,68915,999,448,-.33086428E-1,-.2285696E-1,0
STARLINK-37507,2026-097X,2026-05-20T14:00:01.999872,15.62098683,.00020802,97.2851,336.3947,78.9377,112.9789,0,U,68916,999,446,-.29628872E-1,-.2286902E-1,0
STARLINK-37542,2026-097Y,2026-05-20T14:00:01.999872,15.49189461,.00008272,97.2856,336.2676,69.3471,192.8782,0,U,68917,999,448,-.28257722E-4,-.1627E-4,0
STARLINK-37529,2026-097Z,2026-05-20T14:00:01.999872,15.49200126,.00012871,97.2858,336.2776,90.8735,194.2455,0,U,68918,999,448,.13399349E-3,.7206E-4,0
KUIPER-00370,2026-098A,2026-05-20T14:00:01.999872,15.30834749,.00157079,51.8714,201.0654,57.1984,267.0802,0,U,68919,999,404,.1421113E-2,.43001E-3,0
KUIPER-00380,2026-098B,2026-05-20T13:40:26.756832,15.33729167,.00098917,51.8738,200.9075,44.1697,316.0077,0,U,68920,999,310,.33093758E-3,.10608E-3,0
KUIPER-00386,2026-098C,2026-05-20T13:11:41.581248,15.35607738,.00036062,51.8729,200.7787,63.0073,297.1281,0,U,68921,999,310,.30135949E-3,.10224E-3,0
KUIPER-00388,2026-098D,2026-05-20T12:55:38.386272,15.30474995,.00210796,51.8732,201.4369,47.9353,312.3420,0,U,68922,999,309,.15745646E-3,.4367E-4,0
KUIPER-00405,2026-098E,2026-05-20T14:02:40.860960,15.32204044,.00145276,51.8748,201.0118,49.6988,310.5264,0,U,68923,999,310,-.11626868E-3,-.4057E-4,0
KUIPER-00408,2026-098F,2026-05-20T14:09:43.541856,15.31330617,.00161873,51.8745,201.0432,49.4556,310.7834,0,U,68924,999,310,-.33656249E-3,-.10738E-3,0
KUIPER-00409,2026-098G,2026-05-20T13:30:18.296064,15.34211158,.00078402,51.8742,200.8631,52.5573,307.6125,0,U,68925,999,310,.25241366E-3,.8121E-4,0
KUIPER-00410,2026-098H,2026-05-20T14:00:47.813472,15.31499203,.00139552,51.8735,200.9990,47.1119,313.1034,0,U,68926,999,310,-.74774308E-3,-.23455E-3,0
KUIPER-00412,2026-098J,2026-05-20T13:03:35.583840,15.36117321,.00024461,51.8769,200.7495,98.9722,261.1541,0,U,68927,999,310,.28952087E-3,.9972E-4,0
KUIPER-00413,2026-098K,2026-05-20T13:02:24.876672,15.29959906,.0024982,51.8736,201.4660,63.6162,296.7383,0,U,68928,999,309,-.62826685E-3,-.18998E-3,0
KUIPER-00414,2026-098L,2026-05-20T13:04:10.242336,15.29980102,.00224431,51.8754,201.4794,53.4671,306.8375,0,U,68929,999,309,-.20137658E-3,-.6346E-4,0
KUIPER-00415,2026-098M,2026-05-20T13:45:50.331744,15.33356875,.00111885,51.8772,200.9407,40.8281,319.3541,0,U,68930,999,310,.63052457E-3,.20346E-3,0
KUIPER-00416,2026-098N,2026-05-20T13:00:04.061952,15.36374681,.00016073,51.8736,200.7290,87.0518,273.0652,0,U,68931,999,310,.28327103E-3,.9832E-4,0
KUIPER-00420,2026-098P,2026-05-20T13:13:22.924992,15.35234416,.00038174,51.8763,200.7919,59.2577,300.8784,0,U,68932,999,310,.27962704E-3,.9343E-4,0
KUIPER-00421,2026-098Q,2026-05-20T13:30:55.222560,15.34212683,.00089696,51.8767,200.8708,36.6664,323.4934,0,U,68933,999,310,.5473272E-3,.18085E-3,0
KUIPER-00425,2026-098R,2026-05-20T14:11:19.235040,15.31351205,.00176894,51.8727,201.0439,57.6188,302.6506,0,U,68934,999,310,.34493502E-3,.10287E-3,0
KUIPER-00430,2026-098S,2026-05-20T12:51:02.390976,15.31029472,.00202271,51.8750,201.4229,60.2687,300.0307,0,U,68935,999,309,-.97807471E-4,-.3371E-4,0
KUIPER-00431,2026-098T,2026-05-20T14:00:01.999872,15.30302712,.00175708,51.8727,201.1280,50.4818,244.5628,0,U,68936,999,400,.15119513E-2,.45073E-3,0
KUIPER-00432,2026-098U,2026-05-20T15:23:37.404960,15.32947934,.00121719,51.8738,200.6360,50.3906,309.8152,0,U,68937,999,311,-.57128696E-4,-.2229E-4,0
KUIPER-00434,2026-098V,2026-05-20T13:31:03.777888,15.34605941,.00080126,51.8731,200.8636,42.0947,318.0653,0,U,68938,999,310,.26986617E-3,.8823E-4,0
KUIPER-00436,2026-098W,2026-05-20T13:48:53.345088,15.33217533,.00104457,51.8737,200.9456,52.4005,307.7927,0,U,68939,999,310,.55581087E-3,.178E-3,0
KUIPER-00438,2026-098X,2026-05-20T13:21:15.353280,15.34607850,.0006043,51.8742,200.8228,52.2931,307.8601,0,U,68940,999,310,-.23650076E-2,-.80099E-3,0
KUIPER-00439,2026-098Y,2026-05-20T13:37:24.074400,15.33996329,.0007429,51.8763,200.8996,51.6018,308.5633,0,U,68941,999,310,.34596049E-3,.11198E-3,0
KUIPER-00440,2026-098Z,2026-05-20T13:26:10.948416,15.34323532,.00046436,51.8775,200.8512,61.6331,298.5122,0,U,68942,999,310,.32471352E-3,.10594E-3,0
KUIPER-00442,2026-098AA,2026-05-20T13:28:12.596160,15.34352553,.00063888,51.8777,200.8610,49.4993,310.6548,0,U,68943,999,310,-.25917292E-3,-.9128E-4,0
KUIPER-00446,2026-098AB,2026-05-20T13:25:20.903808,15.34427968,.00061428,51.8740,200.8405,49.5620,310.5901,0,U,68944,999,310,-.73585708E-3,-.25222E-3,0
KUIPER-00451,2026-098AC,2026-05-20T13:58:47.878176,15.31602077,.00126549,51.8762,200.9985,44.3779,315.8217,0,U,68945,999,310,-.54974553E-3,-.17401E-3,0
KUIPER-00452,2026-098AD,2026-05-20T13:13:42.339072,15.35656466,.00044556,51.8740,200.7894,40.9301,319.2018,0,U,68946,999,310,.31223932E-3,.10625E-3,0
