w_mentions,w_goldstein,w_tone,w_geo,w_zscore,f1,precision,recall,best_threshold
0.0,0.3,0.0,0.3,0.4,0.2456140350877193,0.4057971014492754,0.1761006289308176,0.4
0.0,0.3,0.0,0.4,0.3,0.2741935483870968,0.38202247191011235,0.2138364779874214,0.4
0.0,0.3,0.0,0.5,0.2,0.2392638036809816,0.23353293413173654,0.24528301886792453,0.4
0.0,0.3,0.0,0.6,0.1,0.2540983606557377,0.36470588235294116,0.1949685534591195,0.45
0.0,0.3,0.0,0.7,0.0,0.24742268041237114,0.2096069868995633,0.3018867924528302,0.35
0.0,0.3,0.1,0.0,0.6,0.26556016597510373,0.3902439024390244,0.20125786163522014,0.35
0.0,0.3,0.1,0.1,0.5,0.2583732057416268,0.54,0.16981132075471697,0.4
0.0,0.3,0.1,0.2,0.4,0.26724137931034486,0.4246575342465753,0.1949685534591195,0.4
0.0,0.3,0.1,0.3,0.3,0.2379182156133829,0.2909090909090909,0.20125786163522014,0.4
0.0,0.3,0.1,0.4,0.2,0.24199288256227758,0.2786885245901639,0.2138364779874214,0.4
0.0,0.3,0.1,0.5,0.1,0.2289156626506024,0.21965317919075145,0.2389937106918239,0.4
0.0,0.3,0.1,0.6,0.0,0.22327790973871736,0.17938931297709923,0.29559748427672955,0.35
0.0,0.3,0.2,0.0,0.5,0.25327510917030566,0.4142857142857143,0.18238993710691823,0.4
0.0,0.3,0.2,0.1,0.4,0.2556390977443609,0.3177570093457944,0.2138364779874214,0.4
0.0,0.3,0.2,0.2,0.3,0.24827586206896557,0.2748091603053435,0.22641509433962265,0.4
0.0,0.3,0.2,0.3,0.2,0.24193548387096775,0.33707865168539325,0.18867924528301888,0.45
0.0,0.3,0.2,0.4,0.1,0.24375,0.2422360248447205,0.24528301886792453,0.4
0.0,0.3,0.2,0.5,0.0,0.2248803827751196,0.18146718146718147,0.29559748427672955,0.35
0.0,0.3,0.3,0.0,0.4,0.24089635854341737,0.21717171717171718,0.27044025157232704,0.3
0.0,0.3,0.3,0.1,0.3,0.24193548387096775,0.33707865168539325,0.18867924528301888,0.45
0.0,0.3,0.3,0.2,0.2,0.24157303370786515,0.2182741116751269,0.27044025157232704,0.35
0.0,0.3,0.3,0.3,0.1,0.23859649122807017,0.2698412698412698,0.2138364779874214,0.45
