SQLDATE,EventRootCode,QuadClass,GLOBALEVENTID,EventCode,Actor1Name,Actor2Name,Actor1CountryCode,Actor2CountryCode,Actor1Type1Code,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,score_mentions,score_goldstein,score_tone,score_zscore,score_geo,priority_score
2023-04-09,15,4,1094500956,150,CHINA,TAIWAN,CHN,TWN,,-7.2,95,-2.16938922354974,4,21.4167,121.5,https://economictimes.indiatimes.com/news/defence/china-simulates-striking-taiwan-on-second-day-of-drills/articleshow/99353110.cms,1.0,0.0,0.0,0.28901476582391084,0.1,0.325
2022-08-02,15,4,1056756982,150,CHINA,TAIPEI,CHN,TWN,,-7.2,137,-4.27201318574487,4,39.9289,116.388,https://www.msn.com/en-us/news/world/this-is-how-china-could-hit-back-over-pelosis-taiwan-visit/ar-AA10dbZs,1.0,0.0,0.4218034754262931,0.042915322427627085,0.1,0.325
2022-08-05,15,4,1057308076,150,CHINA,TAIWAN,CHN,TWN,,-7.2,752,-2.68058040215589,4,39.9289,116.388,https://www.itv.com/news/2022-08-05/chinese-planes-and-ships-cross-unofficial-buffer-zone-with-taiwan,1.0,0.0,0.0,0.4641564749686345,0.1,0.325
2025-04-01,19,4,1235412262,190,TAIPEI,CHINA,TWN,CHN,,-10.0,214,-5.86255473164498,4,39.9289,116.388,https://www.yahoo.com/news/china-says-launches-military-exercises-002947927.html,1.0,0.9999999996428571,0.578847923254606,0.1144362133002313,0.1,0.325
2019-01-16,19,4,816571894,194,CHINA,TAIWAN,CHN,TWN,,-10.0,606,-2.52948631429841,4,39.9289,116.388,https://www.bradenton.com/news/business/technology/article224584295.html,1.0,0.9999999996428571,0.0,0.32505678957073497,0.1,0.325
2019-01-16,19,4,816545941,190,CHINA,TAIWAN,CHN,TWN,,-10.0,258,-2.56647878414068,4,39.9289,116.388,https://www.miamiherald.com/news/business/technology/article224584295.html,1.0,0.9999999996428571,0.0,0.32505678957073497,0.1,0.325
2018-08-10,19,4,778358417,194,CHINA,TAIWANESE,CHN,TWN,,-10.0,120,-3.96073203479644,4,39.9289,116.388,https://www.aninews.in/news/world/asia/how-will-china-conquer-taiwan201808100621330001/,1.0,0.9999999996428571,0.3910686753224748,0.0,0.1,0.325
2014-03-20,19,4,290299291,190,TAIWAN,CHINA,TWN,CHN,,-10.0,106,5.11559220836947,4,42.2258,127.356,http://www.windsorstar.com/travel/Photos+Taiwanese+martial+arts+festival+marks+Buddha+birthday/9641682/story.html,1.0,0.9999999996428571,0.0,0.0012417324703616537,0.1,0.325
2022-08-04,19,4,1057092371,194,CHINA,TAIWAN,CHN,TWN,,-10.0,159,-3.68163401500355,4,39.9289,116.388,https://www.investmentwatchblog.com/china-has-established-a-blockade-around-taiwan-and-plans-to-shoot-missiles-directly-over-the-island/,1.0,0.9999999996428571,0.363511523784163,0.9999999998921218,0.1,0.325
2022-08-04,19,4,1057186991,194,CHINA,TAIWAN,CHN,TWN,,-10.0,300,-4.22261521114685,4,32.95,116.642,https://wflapanamacity.iheart.com/content/2022-08-04-china-launches-missile-as-it-begins-live-fire-military-drills-around-taiwan/,1.0,0.9999999996428571,0.4169260940937652,0.9999999998921218,0.1,0.325
2022-08-04,19,4,1057186990,194,CHINA,TAIWAN,CHN,TWN,,-10.0,700,-4.22261521114685,4,28.7925,117.262,https://wflapanamacity.iheart.com/content/2022-08-04-china-launches-missile-as-it-begins-live-fire-military-drills-around-taiwan/,1.0,0.9999999996428571,0.4169260940937652,0.9999999998921218,0.1,0.325
2022-08-17,15,4,1058946980,150,CHINA,TAIWAN,CHN,TWN,,-7.2,925,-0.72686518095536,4,28.6,77.2,https://www.californiatelegraph.com/news/272654523/california-seeks-14-billion-to-keep-nuclear-plant-open,1.0,0.0,0.0,0.21101757380929917,0.1,0.325
2023-01-20,19,4,1081107682,192,CHINA,TAIWAN,CHN,TWN,,-9.5,180,-0.834287041183592,4,39.9289,116.388,https://www.voanews.com/a/taiwan-broadcaster-aims-to-fill-gaps-in-coverage-/6927202.html,1.0,0.8214285711352041,0.0,0.0,0.1,0.325
2021-09-23,19,4,1005580876,190,TAIWAN,BEIJING,TWN,CHN,,-10.0,100,-2.25315127724093,4,39.9289,116.388,https://www.banburycake.co.uk/news/national/19600248.china-sends-19-fighter-jets-towards-taiwan-show-force/,1.0,0.9999999996428571,0.0,0.14935192380496717,0.1,0.325
2018-04-17,15,4,748253726,150,CHINA,TAIWAN,CHN,TWN,,-7.2,123,1.27209468682856,4,39.9289,116.388,http://www.dailymail.co.uk/wires/afp/article-5624171/Taiwan-leader-says-island-secure-ahead-China-drills.html,1.0,0.0,0.0,0.006873298680802929,0.1,0.325
2022-10-22,19,4,1068745972,192,CHINA,TAIWAN,CHN,TWN,,-9.5,290,1.92562492540135,4,39.9289,116.388,https://www.kedm.org/npr-news/npr-news/2022-10-22/chinas-communist-party-moves-to-solidify-xi-jinpings-power-in-leadership-shuffle,1.0,0.8214285711352041,0.0,0.025457467175259138,0.1,0.325
2022-08-31,19,4,1060915996,190,TAIWAN,CHINA,TWN,CHN,,-10.0,682,-3.64131903632718,4,39.9289,116.388,https://www.sfgate.com/news/article/Taiwan-forces-fire-at-drones-flying-over-island-17409220.php,1.0,0.9999999996428571,0.3595309653499866,0.24649644093507916,0.1,0.325
2017-03-16,19,4,637447955,190,TAIWAN,CHINA,TWN,CHN,,-10.0,110,-3.45813863246407,4,39.9289,116.388,https://www.yahoo.com/news/taiwan-says-capable-strike-against-china-113335547.html,1.0,0.9999999996428571,0.34144438002827493,0.0,0.1,0.325
2016-05-25,15,4,543791574,154,BEIJING,TAIWANESE,CHN,TWN,,-7.2,108,-4.08555670169864,4,39.9289,116.388,http://abcnews.go.com/International/wireStory/china-taiwans-female-leader-extreme-shes-single-39357489,1.0,0.0,0.40339342153205304,0.0,0.1,0.325
2022-09-21,19,4,1063975097,190,CHINA,TAIWAN,CHN,TWN,,-10.0,110,-1.09835519671585,4,39.9289,116.388,https://www.voanews.com/a/us-canada-warships-transit-taiwan-strait/6755965.html,1.0,0.9999999996428571,0.0,0.0,0.1,0.325
2025-12-30,15,4,1281476134,150,CHINA,TAIWAN,CHN,TWN,,-7.2,208,-3.54561413533731,4,39.9289,116.388,https://www.edenmagnet.com.au/story/9143083/china-launches-biggest-war-games-to-date-around-taiwan/,1.0,0.0,0.35008140185435854,0.1321756468631213,0.1,0.325
2019-01-16,19,4,816545942,194,CHINA,TAIWAN,CHN,TWN,,-10.0,490,-2.57844035429258,4,39.9289,116.388,https://www.miamiherald.com/news/business/technology/article224584295.html,1.0,0.9999999996428571,0.0,0.32505678957073497,0.1,0.325
