SQLDATE,EventCode,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
2024-12-09,190,-10.0,42,-3.3672454744288,4,39.9289,116.388,https://economictimes.indiatimes.com/news/defence/taiwan-says-on-high-alert-after-chinas-military-restricts-airspace/articleshow/116130160.cms
2022-10-12,150,-7.2,75,-4.83517183548215,4,25.0478,121.532,https://gazette.com/news/us-world/taiwan-says-china-looking-at-ukraine-war-to-develop-hybrid-strategies/article_8af5f52f-3ca7-5500-936d-fc3603b8d434.html
2022-05-31,192,-9.5,102,-3.30248066048623,4,39.9289,116.388,https://www.msn.com/en-us/news/world/us-congressional-delegation-makes-surprise-visit-to-taiwan/ar-AAXT6Mq
2022-05-31,190,-10.0,110,-2.64913753069407,4,39.9289,116.388,https://news.webindia123.com/news/Articles/World/20220531/3947229.html
2022-05-31,190,-10.0,72,-2.64811913944455,4,39.9289,116.388,https://news.webindia123.com/news/Articles/World/20220531/3947229.html
2022-05-31,192,-9.5,96,-5.41956858026462,4,25.0478,121.532,https://www.msn.com/en-us/news/world/china-makes-second-largest-taiwan-defence-zone-incursion-this-year/ar-AAXUfzP
2023-07-14,191,-9.5,64,-3.30593730249716,4,24.1098,113.005,https://www.usnews.com/news/world/articles/2023-07-14/china-flexes-military-muscles-ahead-of-taiwans-war-games
2024-01-26,190,-10.0,56,-1.58228496792375,3,37.7749,-122.419,https://www.marketscreener.com/news/latest/Taiwan-reports-Chinese-combat-patrols-ahead-of-China-US-talks-45820987/
2024-10-23,150,-7.2,60,0.39840637450199,4,39.9289,116.388,https://www.northkoreatimes.com/news/274739328/in-2-billion-arms-sales-to-taiwan-us-approves-missile-defense-system
2024-10-23,150,-7.2,60,0.332808550743261,4,39.9289,116.388,https://www.bignewsnetwork.com/news/274739328/us-approves-2-billion-in-arms-sales-to-taiwan
2022-08-02,194,-10.0,46,-1.18092477996859,4,39.9289,116.388,https://abcnews.go.com/Politics/china-military-provocations-tied-pelosi-visit-taiwan-white/story?id=87761483
2022-08-02,150,-7.2,137,-4.27201318574487,4,39.9289,116.388,https://www.msn.com/en-us/news/world/this-is-how-china-could-hit-back-over-pelosis-taiwan-visit/ar-AA10dbZs
2016-05-19,190,-10.0,98,-3.84362387514058,4,25.0478,121.532,http://www.firstlightradio.com/news/taipei-zoo-photo-debunks-rumors-of-beloved-pandas-death/
2023-07-25,150,-7.2,88,-4.69777127106769,4,24.1098,113.005,https://www.michigansthumb.com/news/world/article/strong-typhoon-blows-closer-to-northern-18258840.php
2023-07-26,195,-10.0,98,-4.4750430292599,4,24.1098,113.005,https://www.taiwannews.com.tw/en/news/4954783
2023-07-26,150,-7.2,124,-6.32701692475198,4,24.1098,113.005,https://www.seattletimes.com/nation-world/typhoon-blows-off-roofs-floods-villages-and-displaces-thousands-in-northern-philippines/
2023-07-26,150,-7.2,60,-6.33938039382156,4,24.1098,113.005,https://www.seattletimes.com/nation-world/typhoon-blows-off-roofs-floods-villages-and-displaces-thousands-in-northern-philippines/
2024-12-11,150,-7.2,120,-1.23598611442327,4,39.9289,116.388,https://www.news4jax.com/news/world/2024/12/11/taiwan-demands-that-china-end-its-military-activity-in-nearby-waters/
2024-12-11,150,-7.2,94,-1.2401516482065,4,39.9289,116.388,https://www.burytimes.co.uk/news/national/24786331.taiwan-demands-china-ends-military-activity-nearby-waters/
2024-12-11,150,-7.2,94,-1.2401516482065,4,39.9289,116.388,https://www.burytimes.co.uk/news/national/24786331.taiwan-demands-china-ends-military-activity-nearby-waters/
2024-12-11,150,-7.2,122,-1.23221644397869,4,39.9289,116.388,https://www.news4jax.com/news/world/2024/12/11/taiwan-demands-that-china-end-its-military-activity-in-nearby-waters/
2024-12-11,150,-7.2,374,-1.23044681504321,4,24.0,119.0,https://www.news4jax.com/news/world/2024/12/11/taiwan-demands-that-china-end-its-military-activity-in-nearby-waters/
2024-12-11,150,-7.2,63,-1.20572567747153,4,25.0478,121.532,https://www.yahoo.com/news/taiwan-demands-china-end-military-063252539.html
2022-10-05,150,-7.2,80,-4.91651157981804,4,25.0478,121.532,https://www.taiwansun.com/news/272816963/us-can-upset-chinese-blockade-strategy-of-taiwan-navy-commander
2023-06-09,190,-10.0,52,2.62895377169656,4,39.9289,116.388,https://www.clickondetroit.com/news/world/2023/06/09/honduran-president-begins-first-visit-to-china-since-breaking-off-ties-with-taiwan/
2023-06-09,190,-10.0,402,2.16249381552503,4,39.9289,116.388,https://www.theintelligencer.com/news/politics/article/honduran-president-begins-first-visit-to-china-18143620.php
2023-06-09,190,-10.0,344,2.16249381552503,4,25.0478,121.532,https://www.theintelligencer.com/news/politics/article/honduran-president-begins-first-visit-to-china-18143620.php
