w_mentions,w_goldstein,w_tone,w_geo,f1,precision,recall,best_threshold
0.3,0.4,0.2,0.1,0.10288065843621398,0.05694760820045558,0.5319148936170213,0.5
0.3,0.4,0.3,0.0,0.09655172413793103,0.05761316872427984,0.2978723404255319,0.5
0.3,0.5,0.0,0.2,0.17085427135678394,0.1118421052631579,0.3617021276595745,0.7
0.3,0.5,0.1,0.1,0.1417910447761194,0.08597285067873303,0.40425531914893614,0.6
0.3,0.5,0.2,0.0,0.0892857142857143,0.07692307692307693,0.10638297872340426,0.6
0.3,0.6,0.0,0.1,0.16504854368932037,0.1069182389937107,0.3617021276595745,0.7
0.3,0.6,0.1,0.0,0.15267175572519084,0.11904761904761904,0.2127659574468085,0.65
0.3,0.7,0.0,0.0,0.20289855072463767,0.3181818181818182,0.14893617021276595,0.75
0.4,0.0,0.0,0.6,0.1492537313432836,0.08450704225352113,0.6382978723404256,0.55
0.4,0.0,0.1,0.5,0.15384615384615385,0.08707865168539326,0.6595744680851063,0.45
0.4,0.0,0.2,0.4,0.16,0.1282051282051282,0.2127659574468085,0.45
0.4,0.0,0.3,0.3,0.19999999999999998,0.12716763005780346,0.46808510638297873,0.35
0.4,0.0,0.4,0.2,0.1481481481481481,0.10434782608695652,0.2553191489361702,0.3
0.4,0.0,0.5,0.1,0.1319796954314721,0.08666666666666667,0.2765957446808511,0.25
0.4,0.0,0.6,0.0,0.12068965517241378,0.10144927536231885,0.14893617021276595,0.3
0.4,0.1,0.0,0.5,0.16080402010050251,0.10526315789473684,0.3404255319148936,0.6
0.4,0.1,0.1,0.4,0.17061611374407584,0.10975609756097561,0.3829787234042553,0.5
0.4,0.1,0.2,0.3,0.1754385964912281,0.11049723756906077,0.425531914893617,0.4
0.4,0.1,0.3,0.2,0.1744186046511628,0.12,0.3191489361702128,0.35
0.4,0.1,0.4,0.1,0.13888888888888892,0.2,0.10638297872340426,0.4
0.4,0.1,0.5,0.0,0.11267605633802817,0.16666666666666666,0.0851063829787234,0.4
0.4,0.2,0.0,0.4,0.17085427135678394,0.1118421052631579,0.3617021276595745,0.6
0.4,0.2,0.1,0.3,0.16666666666666669,0.10828025477707007,0.3617021276595745,0.5
0.4,0.2,0.2,0.2,0.15671641791044777,0.09502262443438914,0.44680851063829785,0.4
0.4,0.2,0.3,0.1,0.13013698630136986,0.07755102040816327,0.40425531914893614,0.35
